item_name,month,year,sale_units,price_per_unit,stock_level,stock_apple,sale_apple,stock_banana,sale_banana,stock_cucumber,sale_cucumber,stock_okra,sale_okra,stock_oranges,sale_oranges,stock_patato,sale_patato,stock_tomato,sale_tomato
Spicy Veggie Stir-Fry,July,2021,66,696,110,0,0,0,0,8250,4950,6600,3960,0,0,16500,9900,5500,3300
Fruity Veggie Smoothie,August,2021,80,545,148,14800,8000,14800,8000,11100,6000,0,0,19240,10400,0,0,0,0
Tropical Fruit Salad,March,2021,79,577,133,19950,11850,13300,7900,0,0,0,0,17290,10270,0,0,0,0
Tropical Fruit Salad,December,2023,79,652,124,18600,11850,12400,7900,0,0,0,0,16120,10270,0,0,0,0
Garden Vegetable Medley,November,2022,56,662,118,0,0,0,0,8850,4200,7080,3360,0,0,0,0,5900,2800
Spicy Veggie Stir-Fry,December,2021,81,692,112,0,0,0,0,8400,6075,6720,4860,0,0,16800,12150,5600,4050
Fruity Veggie Smoothie,December,2023,82,1039,129,12900,8200,12900,8200,9675,6150,0,0,16770,10660,0,0,0,0
Spicy Veggie Stir-Fry,October,2022,67,667,115,0,0,0,0,8625,5025,6900,4020,0,0,17250,10050,5750,3350
Fruity Veggie Smoothie,October,2021,82,816,131,13100,8200,13100,8200,9825,6150,0,0,17030,10660,0,0,0,0
Hearty Potato Curry,June,2023,67,849,108,0,0,0,0,0,0,6480,4020,0,0,16200,10050,5400,3350
Tropical Fruit Salad,August,2023,87,1204,135,20250,13050,13500,8700,0,0,0,0,17550,11310,0,0,0,0
Fruity Veggie Smoothie,February,2023,89,1170,126,12600,8900,12600,8900,9450,6675,0,0,16380,11570,0,0,0,0
Hearty Potato Curry,February,2022,79,539,119,0,0,0,0,0,0,7140,4740,0,0,17850,11850,5950,3950
Fruity Veggie Smoothie,November,2020,92,499,142,14200,9200,14200,9200,10650,6900,0,0,18460,11960,0,0,0,0
Fruity Veggie Smoothie,May,2023,100,810,150,15000,10000,15000,10000,11250,7500,0,0,19500,13000,0,0,0,0
Spicy Veggie Stir-Fry,December,2020,76,577,134,0,0,0,0,10050,5700,8040,4560,0,0,20100,11400,6700,3800
Tropical Fruit Salad,April,2020,73,631,134,20100,10950,13400,7300,0,0,0,0,17420,9490,0,0,0,0
Garden Vegetable Medley,October,2023,62,961,104,0,0,0,0,7800,4650,6240,3720,0,0,0,0,5200,3100
Tropical Fruit Salad,June,2024,75,1149,113,16950,11250,11300,7500,0,0,0,0,14690,9750,0,0,0,0
Hearty Potato Curry,February,2021,69,519,105,0,0,0,0,0,0,6300,4140,0,0,15750,10350,5250,3450
Tropical Fruit Salad,February,2020,74,678,111,16650,11100,11100,7400,0,0,0,0,14430,9620,0,0,0,0
Hearty Potato Curry,December,2020,78,597,106,0,0,0,0,0,0,6360,4680,0,0,15900,11700,5300,3900
Garden Vegetable Medley,August,2023,64,1053,109,0,0,0,0,8175,4800,6540,3840,0,0,0,0,5450,3200
Tropical Fruit Salad,February,2024,73,1404,127,19050,10950,12700,7300,0,0,0,0,16510,9490,0,0,0,0
Garden Vegetable Medley,September,2021,53,777,96,0,0,0,0,7200,3975,5760,3180,0,0,0,0,4800,2650
Fruity Veggie Smoothie,February,2022,88,975,147,14700,8800,14700,8800,11025,6600,0,0,19110,11440,0,0,0,0
Tropical Fruit Salad,November,2022,83,734,113,16950,12450,11300,8300,0,0,0,0,14690,10790,0,0,0,0
Garden Vegetable Medley,August,2022,50,878,101,0,0,0,0,7575,3750,6060,3000,0,0,0,0,5050,2500
Tropical Fruit Salad,May,2024,72,860,117,17550,10800,11700,7200,0,0,0,0,15210,9360,0,0,0,0
Spicy Veggie Stir-Fry,February,2020,80,588,133,0,0,0,0,9975,6000,7980,4800,0,0,19950,12000,6650,4000
Tropical Fruit Salad,February,2021,71,813,136,20400,10650,13600,7100,0,0,0,0,17680,9230,0,0,0,0
Garden Vegetable Medley,May,2022,68,735,93,0,0,0,0,6975,5100,5580,4080,0,0,0,0,4650,3400
Hearty Potato Curry,November,2023,80,1110,101,0,0,0,0,0,0,6060,4800,0,0,15150,12000,5050,4000
Spicy Veggie Stir-Fry,July,2024,83,1202,120,0,0,0,0,9000,6225,7200,4980,0,0,18000,12450,6000,4150
Hearty Potato Curry,March,2021,72,562,108,0,0,0,0,0,0,6480,4320,0,0,16200,10800,5400,3600
Spicy Veggie Stir-Fry,December,2023,78,996,132,0,0,0,0,9900,5850,7920,4680,0,0,19800,11700,6600,3900
Spicy Veggie Stir-Fry,April,2020,72,423,118,0,0,0,0,8850,5400,7080,4320,0,0,17700,10800,5900,3600
Tropical Fruit Salad,July,2024,89,994,116,17400,13350,11600,8900,0,0,0,0,15080,11570,0,0,0,0
Tropical Fruit Salad,March,2024,85,996,133,19950,12750,13300,8500,0,0,0,0,17290,11050,0,0,0,0
Hearty Potato Curry,July,2024,80,976,101,0,0,0,0,0,0,6060,4800,0,0,15150,12000,5050,4000
Fruity Veggie Smoothie,October,2020,85,680,126,12600,8500,12600,8500,9450,6375,0,0,16380,11050,0,0,0,0
Spicy Veggie Stir-Fry,November,2024,67,1221,125,0,0,0,0,9375,5025,7500,4020,0,0,18750,10050,6250,3350
Fruity Veggie Smoothie,August,2020,82,463,133,13300,8200,13300,8200,9975,6150,0,0,17290,10660,0,0,0,0
Hearty Potato Curry,February,2024,80,802,101,0,0,0,0,0,0,6060,4800,0,0,15150,12000,5050,4000
Tropical Fruit Salad,November,2024,73,1056,129,19350,10950,12900,7300,0,0,0,0,16770,9490,0,0,0,0
Tropical Fruit Salad,January,2024,72,1333,120,18000,10800,12000,7200,0,0,0,0,15600,9360,0,0,0,0
Fruity Veggie Smoothie,August,2024,97,979,150,15000,9700,15000,9700,11250,7275,0,0,19500,12610,0,0,0,0
Spicy Veggie Stir-Fry,January,2021,73,644,109,0,0,0,0,8175,5475,6540,4380,0,0,16350,10950,5450,3650
Tropical Fruit Salad,October,2021,81,649,128,19200,12150,12800,8100,0,0,0,0,16640,10530,0,0,0,0
Hearty Potato Curry,May,2023,79,968,124,0,0,0,0,0,0,7440,4740,0,0,18600,11850,6200,3950
Spicy Veggie Stir-Fry,January,2023,81,926,119,0,0,0,0,8925,6075,7140,4860,0,0,17850,12150,5950,4050
Fruity Veggie Smoothie,December,2020,91,602,131,13100,9100,13100,9100,9825,6825,0,0,17030,11830,0,0,0,0
Spicy Veggie Stir-Fry,June,2021,65,550,122,0,0,0,0,9150,4875,7320,3900,0,0,18300,9750,6100,3250
Hearty Potato Curry,June,2022,80,708,106,0,0,0,0,0,0,6360,4800,0,0,15900,12000,5300,4000
Hearty Potato Curry,November,2020,75,643,125,0,0,0,0,0,0,7500,4500,0,0,18750,11250,6250,3750
Hearty Potato Curry,August,2022,76,569,103,0,0,0,0,0,0,6180,4560,0,0,15450,11400,5150,3800
Garden Vegetable Medley,April,2023,61,667,95,0,0,0,0,7125,4575,5700,3660,0,0,0,0,4750,3050
Garden Vegetable Medley,April,2022,60,556,109,0,0,0,0,8175,4500,6540,3600,0,0,0,0,5450,3000
Fruity Veggie Smoothie,November,2022,84,717,136,13600,8400,13600,8400,10200,6300,0,0,17680,10920,0,0,0,0
Hearty Potato Curry,February,2020,73,433,125,0,0,0,0,0,0,7500,4380,0,0,18750,10950,6250,3650
Spicy Veggie Stir-Fry,December,2024,79,1195,114,0,0,0,0,8550,5925,6840,4740,0,0,17100,11850,5700,3950
Tropical Fruit Salad,September,2021,89,777,113,16950,13350,11300,8900,0,0,0,0,14690,11570,0,0,0,0
Fruity Veggie Smoothie,September,2020,99,369,147,14700,9900,14700,9900,11025,7425,0,0,19110,12870,0,0,0,0
Garden Vegetable Medley,December,2020,54,586,95,0,0,0,0,7125,4050,5700,3240,0,0,0,0,4750,2700
Garden Vegetable Medley,November,2023,50,794,93,0,0,0,0,6975,3750,5580,3000,0,0,0,0,4650,2500
Spicy Veggie Stir-Fry,July,2022,83,835,124,0,0,0,0,9300,6225,7440,4980,0,0,18600,12450,6200,4150
Garden Vegetable Medley,July,2023,55,986,99,0,0,0,0,7425,4125,5940,3300,0,0,0,0,4950,2750
